Firm Name,Investment Sector,Location (City),Investment Stage,URL
1776,"Technology, Health, Transportation, Energy, Education","Washington, D.C.","Early Stage Venture, Seed",https://www.1776.vc/
11.2 Capital,"Healthcare, Security, Finance","San Francisco, CA","Early Stage, Seed",http://www.112capital.com/
122 West Ventures,"Information Technology, Telecoms, Media, and Communications","San Francisco, CA",Early Stage,122west.vc/
1517 Fund,"Clean Technology, Consumer Discretionary, Healthcare, Industrials, Information Technology, Telecoms, Media, and Communications","San Francisco, CA","Early Stage: Seed, Early Stage: Start-up",www.1517fund.com
1confirmation,Financial Services,"San Francisco, CA","Early Stage Venture, Seed",www.1confirmation.com
3Rodeo,"Business Services, Information Technology, Telecoms, Media, and Communications","Los Angeles, CA","Early Stage, Early Stage: Seed",www.3rodeo.com
4490 Ventures,"Technology, Financial Services, Agriculture, Education","Madison, WI","Early Stage Venture, Seed",http://www.4490.ventures
50 Years,"Financial Services, Business Services, Insurance, Fintech","San Francisco, CA",Early Stage,http://www.fifty.vc/
500 Startups,"Technology, Health, Financial Services, Education, Media","Mountain View, CA","Early Stage Venture, Seed",http://www.500.co
645 Ventures,Technology,"New York, NY","Early Stage Venture, Seed",http://www.645ventures.com
7 Gate Ventures,"Healthcare, Technology, Internet, Security","San Francisco, CA","Early Stage Venture, Seed",www.7gate.vc
7 Seas Ventures,"Consumer Discretionary, Healthcare, Information Technology, Telecoms, Media, and Communications","Menlo Park, CA","Early Stage, Expansion / Late Stage, Growth, Venture (General)",www.7seasvc.com
9Mile Labs,"Technology, Media","Seattle, WA","Early Stage Venture, Seed",www.9milelabs.com
A Capital Partners,Technology,"Menlo Park, CA",Early Stage Venture,www.acapitalvc.com
A-Force Ventures,"Travel, Health, Entertainment, Consumer Products, Fashion, Education","San Francisco, CA","Early Stage, Early Stage: Seed, Early Stage: Start-up",https://www.aforceventures.com/
Accele Biopharma,"Pharmaceuticals, Technology","Oklahoma City, OK",Early Stage Venture,http://www.accelebio.com
Acceleprise Ventures,Technology,"Washington, D.C.","Early Stage Venture, Seed",http://www.acceleprise.vc
Accelerator Ventures,Technology,"San Francisco, CA","Early Stage, Early Stage: Seed, Early Stage: Start-up",www.acceleratorventures.com
Acorn Pacific Ventures,Technology,"Santa Clara, CA","Early Stage Venture, Seed, Late Stage Venture",www.acornpacific.ventures
Activant Capital Group,Technology,"Greenwich, CT","Late Stage Venture, Private Equity",http://www.activantcapital.com
ActOne Ventures,"Software, Technology","Santa Monica, LA","Early Stage, Early Stage: Seed, Early Stage: Start-up",www.actoneventures.com
Advancit Capital,"Media, Entertainment, Technology","Norwood, MA","Early Stage, Early Stage: Seed",www.advancitcapital.com
Aegis Venture Funds,Technology,"New York, NY",Venture (General),www.aegiscapcorp.com
Afore Capital,"Technology, Consumer Services","San Francisco, CA",Early Stage Venture,www.afore.vc
AI8 Ventures,"Business Services, Healthcare, Information Technology","San Francisco, CA","Early Stage: Seed, Early Stage: Start-up",www.ai8ventures.com
Alaya Capital Partners,Technology,"Sausalito, CA",Early Stage Venture,https://alaya-capital.com/
Aligned Partners,Technology,"Menlo Park, CA",Early Stage Venture,http://www.alignedvc.com
Allos Ventures,"Technology, Manufacturing, Healthcare","Carmel, IN","Early Stage Venture, Late Stage Venture",http://www.allosventures.com
Almanac Investments,"Agriculture, Food, Hospitality","New York, NY",Early Stage Venture,http://www.almanacinvest.com
Alpha Bridge Ventures,Information Technology,"San Francisco, CA","Early Stage, Early Stage: Seed, Early Stage: Start-up",www.alphabridge.squarespace.com
Alpha Tech Ventures,"High-Tech, Industrial, Internet, IT, Media, Network, Software, Technology, Telecom Media","San Francisco, CA",Early Stage: Seed,www.oatv.com
Alpha Venture Partners,"E-Commerce, Mobile, Social, Business Process Outsourcing, Information Services, Technology","New York, NY","Expansion / Late Stage, Growth",www.alphavp.com
AlphaPrime Ventures,"Business Services, Information Technology, Telecoms, Media, Communications","New York, NY","Early Stage, Early Stage: Seed, Early Stage: Start-up",www.alphaprime.com
Alpine Meridien,"Internet, Digital Media, FinTech, Data, Software, E-Commerce","New York, NY","Early Stage Venture, Seed",www.alpinemeridian.com
Alumni Ventures Group,"Technology, Healthcare","Manchester, NH","Early Stage Venture, Seed, Late Stage Venture",www.avgfunds.com/
Amaranthine Partners,Information Technology,"San Francisco, CA",Early Stage: Start-up,www.amaranthine.vc
Amasia,Diversified,"Burlingame, CA","Early Stage Venture, Late Stage Venture, Seed",https://www.amasia.vc
Ambition,"Enterprise Software, Gamification, SaaS, Sales","Chattanooga, TN",Seed,www.tryambition.com
Amino Capital,"Technology, Internet, Media","Palo Alto, CA","Early Stage Venture, Seed",www.aminocapital.com
AmityVentures,Information Technology,"San Francisco, CA","Early Stage, Early Stage: Start-up, Venture (General)",www.amityventures.com
Amplify,"Media, Technology","Venice, CA","Early Stage Venture, Seed",http://www.amplify.la
Amplo,Diversified,"Spring, TX","Early Stage, Early Stage: Seed",amplovc.com
Anchor,N/A,"Raleigh, NC",,www.anchorcap.us
AngelPad,"Technology, Healthcare","San Francisco, CA",Seed,http://www.angelpad.org
Angels Unleashed,"Technology, Internet, Electronics, Education","Menlo Park, CA","Early Stage Venture, Seed, Late Stage Venture",http://www.angelsunleashed.co.uk
Antecedent Ventures,Information Technology,"New York, NY","Early Stage, Early Stage: Seed",www.antecedent.vc
Apertue Venture Partners,"Healthcare, Information Technology","New York, NY","Early Stage, Expansion/Late Stage, Venture (General)",www.aperturevp.com
Arab Angel Fund,"Technology, Consumer Services, Financial Services, Internet","Washington, D.C.","Seed, Series A",www.arabangel.vc
Arafura Ventures,"Business Services, Consumer Discretionary, Industrials, Information Technology, Telecoms, Media, and Communications","Palo Alto, CA","Bridge Financing, Co-Investment, Early Stage, Early Stage: Seed, Early Stage: Start-up, Expansion / Late Stage, Growth, pre-IPO, Venture (General)",www.arafuraventures.com
Archer Venture Capital,"Technology, Financial Services","Los Angeles, CA","Seed, Series A, and select later growth stages",http://www.archervc.com
Arcus Ventures,"Healthcare, Financial Services","New York, NY","Early Stage Venture, Late Stage Venture",arcusventures.com
Arena Ventures,"Technology, IT, Healthcare","Los Angeles, CA","Early Stage Venture, some Series B and later",http://www.arenavc.com
Aristos Ventures,Diversified,"Dallas, TX",Early Stage,https://www.aristosventures.com/
Armory Square Ventures,"Business Services, Consumer Discretionary, Energy and Utilities, Information Technology, Food and Agriculture, Healthcare, Telecoms, Media, and Communications","Syracuse, NY","Early Stage, Early Stage: Seed, Early Stage: Start-up",www.armorysv.com
Array Ventures,Entreprise Deeptech (AI/ML/Robotics/Blockchain/Cloud),"San Francisco, CA","Early Stage, Seed",array.vc/
Arthur Ventures,"B2B, Enterprise Software, Information Technology, Internet, Mobile, SaaS","Minneapolis, MN","Early Stage Venture, Late Stage Venture, Seed",www.arthurventures.com
Asimov Ventures,"Technology, Hardware","New York, NY",Early Stage Venture,http://www.asimovventures.com
Atomic Management LLC,"Consumer Products, Consumer Services, Diversified, Healthcare IT","San Francisco, CA",Start-Up,http://www.atomic.vc
ATX Seed Ventures,"Technology, Consumer Products, High-Tech, Software, Clean Technology, Healthcare IT","Austin, Texas",Seed,www.atxseedventures.com
Authentic Ventures,Diversified,"Oakland, CA","Early Stage, Seed",www.authentic-ventures.com
Autochrome Ventures,"Diversified, Information Technology","Santa Monica, CA","Early Stage, Early Stage: Seed, Venture (General)",www.autochrome.vc
B37 Ventures,Information Technology,"San Francisco, CA","Early Stage, Early Stage: Start-up",www.bridge37.com
BABEL Ventures,"Financial Services, Healthcare IT","San Francisco, CA",Early Stage Venture,www.babel.ventures
Background Capital,Diversified,"San Francisco, CA",Early Stage: Start-up,http://www.backgroundcap.com
Backstage Capital,"Consumer Discretionary, Information Technology, Diversified","West Hollywood, CA","Early Stage, Early Stage: Seed, Early Stage: Start-up, Venture (General)",backstagecapital.com/
BAM Ventures,"Retail, Internet","Playa Vista, CA",Early Stage Venture,www.bam.vc
Base Ventures,Technology,"Berkeley, CA",Early Stage,base.ventures
Baseline Ventures,"Consumer Discretionary, Information Technology, Telecoms, Media, and Communications","San Francisco, CA","Early Stage Venture, Late Stage Venture, Seed",www.baselinev.com
Be Great Partners,"Consumer Products, Retail, Consumer Services, IT, High-Tech, Software, Internet, Computer Services, Food, Digital Media","Los Angeles, CA",Seed,www.begreat.co/
Beanstalk Ventures,"Technology, Retail, Software","Hartsdale, NY",Seed,http://www.beanstalk.vc
Bee Partners,"Business Services, Consumer Discretionary, Diversified","San Francisco, CA","Early Stage, Early Stage: Seed, Early Stage: Start-up",www.beepartners.vc
Benhamou Global Ventures,"Business Services, Consumer Discretionary, Healthcare, Industrials, Information Technology, Telecoms, Media, and Communications","Palo Alto, CA","Co-Investment, Early Stage, Early Stage: Seed, Early Stage: Start-up, Expansion / Late Stage, Spin-Offs, Venture (General)",www.benhamouglobalventures.com
Bennu,Diversified,"Las Vegas, NV","Early Stage, Early Stage: Seed, Early Stage: Start-up, Expansion / Late Stage, Venture (General)",www.bennuvc.com
Beta Fund,"IT, Biotechnology, High-Tech, Software, Nanotechnology","Chestnut Hill, MA","Early Stage Venture, Seed",www.betafund.wordpress.com
Betaworks Ventures,"Computer Vision, Gaming, Consumer Services","New York, NY","Pre-Seed, Seed",betaworksventures.com
Better Ventures,"Technology, Environmental Services, Education / Training","Oakland, CA","Early Stage Venture, Seed",www.better.vc
Birchmere Ventures,"Business Services. Clean Technology, Consumer Discretionary, Healthcare, Information Technology, Telecoms, Media, and Communications","San Francisco, CA","Early Stage, Early Stage: Seed, Early Stage: Start-up, Expansion / Late Stage, Growth, Venture (General)",www.birchmerevc.com
Black Diamond Ventures,SaaS,"Glendale, CA",Early Stage,http://bdventures.com/
Black River Ventures,"Technology, IT, Software, Internet, Healthcare IT, IT Security, IT Infrastructure","Russia, OH","Early Stage Venture, Late Stage Venture",www.brv.vc
Blackhorn Ventures,"Business Services, Energy and Utilities, Healthcare, Industrials, Information Technology, Infrastructure","Boulder, CO","Early Stage, Early Stage: Seed, Early Stage: Start-up, Growth, Venture (General)",www.blackhornvc.com
Blade,"Technology, Retail, Consumer Services, Software, Internet, Hardware","Boston, MA","Early Stage Venture, Seed, Start-Up",http://www.blade.net
Blangkond Ventures,"IT, Aviation, Gaming, Property, Maritime, Enterprise, Energy","Los Angeles, CA","Early Stage, Early Stage: Seed, Early Stage: Start-up",https://www.blangkond.com/
Blank Slate Ventures,Diversified,"Chattanooga, TN",Seed,http://www.blankslateventures.com
Bleu Capital,"Business Services, Consumer Discretionary, Information Technology","New York, NY","Early Stage, Early Stage: Seed",www.bleucap.com/
Blockchain Capital,"Financial Services, High-Tech, Software","San Francisco, CA","Early Stage Venture, Late Stage Venture, Seed",http://www.blockchain.capital
Blue Bear Ventures,"Diversified, Information Technology","Saratoga, CA","Early Stage, Early Stage: Start-up",www.bbv.io
Blue Cloud Ventures,"Technology, Telecoms, Consumer Products, Media, Software, Internet","New York, NY",Late Stage Venture,www.bluecloudventures.com
Blue Seed Collective,"Consumer Discretionary, Diversified, Healthcare, Information Technology, Infrastructure","Brooklyn, NY","Early Stage, Early Stage: Seed, Early Stage: Start-up",www.blue.xyz
Blueberry Ventures,Food and Agriculture,"Tiburon, CA","Early Stage, Growth",www.blueberryventures.vc
BOLDstart Ventures,"Technology, IT, Software, Wireless, IT Security, IT Infrastructure","New York, NY",Seed Stage,http://www.boldstart.vc
Bolt,"Software, Hardware","San Francisco, CA","Early Stage Venture, Seed",www.bolt.io
Bonfire Ventures,"Technology, Software, Business Services","Los Angeles, CA","Early Stage Venture, Seed",https://www.bonfirevc.com
Boost VC,"Consumer Discretionary, Diversified, Information Technology, Telecoms, Media, and Communications","San Mateo, CA","Early Stage: Seed, Early Stage: Start-up, Venture (General)",www.boost.vc
BootstrapLabs,"Healthcare, Industrials, Information Technology","San Francisco, CA","Early Stage, Early Stage: Seed, Early Stage: Start-up, Venture (General)",www.bootstraplabs.com
Boulder Investment Group Reprise,"Beverages, Agriculture, Food","Boulder, CO",Early Stage Venture,www.bigrventures.com/
Bowery Capital,"Technology, IT, Software","New York, NY","Early Stage Venture, Seed",http://www.bowerycap.com
Brain Robotics Capital,"Technology, High-Tech, Software","Boston, MA","Early Stage Venture, Seed",http://www.brainrobotcap.com
Brand Foundry Ventures,"E-Commerce, Mobile Commerce, Consumer Products, Consumer Devices","New York, NY",Seed,BrandFoundryVC.com
Breakout Ventures,"Technology, Biotechnology, Energy, Materials","San Francisco, CA",Early Stage Venture,www.breakout.vc
Brick + Mortar,"Consumer Discretionary, Industrials, Information Technology, Telecoms, Media, and Communications","San Francisco, CA",Venture (General),www.brickmortar.vc
Brightpath Capital Partners,"Education / Training, Food, Business Services, Clean Technology","Oakland, CA","Early Stage Venture, Late Stage Venture",www.brightpathcapitalpartners.com
Brilliant Ventures,E-Commerce,"Santa Monica, CA",Seed,www.brilliant.ventures
Bronze Investments,Financial Services,"Palo Alto, CA","Early Stage Venture, Late Stage Venture",bronze.vc
Brooklyn Bridge Ventures,"Technology, IT, Software, Hardware","Brooklyn, NY","Early Stage Venture, Seed",www.brooklynbridge.vc
Bull City Venture Partners,"Healthcare, Information Technology, Telecoms, Media, and Communications","Durham, NC","Early Stage, Early Stage: Seed, Growth, Spin-Offs, Venture (General)",www.bcvp.com
Bulldog Innovation Group,Diversified,"New Haven, CT","Early Stage Venture, Seed",http://www.bulldoginnovationgroup.com
Bullish Partners,Consumer Services,"New York, NY","Early Stage Venture, Seed",http://bullish.co/
Caerus Ventures,"Technology, Consumer Products, Manufacturing, Software, Hardware, Energy, Diversified, Digital Media, Healthcare IT","West Palm Beach, FL","Early Stage Venture, Seed",www.caerusventures.com
Camber Creek,"Clean Technology, Consumer Discretionary, Energy and Utilities, Industrials, Information Technology, Infrastructure, Real Estate","Washington, D.C.","Early Stage, Early Stage: Seed, Early Stage: Start-up, Expansion / Late Stage, Venture (General)",www.cambercreek.com
Cantos,Diversified,"San Francisco, CA","Early Stage, Early Stage: Seed, Early Stage: Start-up",www.cantos.vc
Canyon Creek Capital,"Financial Services, Fintech","Santa Monica, CA","Early Stage Venture, Seed",canyoncreekcapital.com
Capella Space,"Image Recognition, Information Services, Satellite Communication","Palo Alto, CA",Early Stage Venture,www.capellaspace.com
Capella VC,Diversified,"San Francisco, CA",Early Growth,http://www.capellavc.com/
Capital A Partners,Diversified,"Charleston, SC",Early Stage Venture,www.capitalapartners.com
Cardinal Venture Capital,"Technology, Digital Media, Financial Technology, Mobility and Software","Menlo Park, CA","Debt, Early Stage Venture, Late Stage Venture, Private Equity",www.cardinalvc.com
Casa Verde Capital,"Technology, Consumer Products, Retail, Financial Services, Software, Internet, Agriculture","Los Angeles, CA",Seed,www.casaverdecapital.com
Cassius Family,"Content, Commerce, Consumer Technology","Atlanta, GA",Early Stage Venture,cassiusfamily.com
Catapult Ventures,"Healthcare, Information Technology","Los Altos, CA",Venture (General),www.catapult-ventures.com
Causeway Media Partners,"Sports Media, Entertainment","Boston, CA","Early Stage Venture, Late Stage Venture",www.causewaymp.com/
Cayuga Venture Fund,"Clean Technology, Consumer Discretionary, Food and Agriculture, Healthcare, Industrials, Information Technology, Materials, Telecoms, Media, and Communications","Ithaca, NY","Early Stage, Early Stage: Seed, Early Stage: Start-up, Expansion / Late Stage, Growth, Venture (General)",www.cayugaventures.com/
Center Electric,Information Technology,"San Francisco, CA","Early Stage, Venture (General)",www.cen.vc
CerraCap Ventures,"Business Services, Healthcare, Information Technology","Costa Mesa, CA","Early Stage, Early Stage: Start-up",www.cerracap.com
Cervin Ventures,"Software, Business Services, IT Infrastructure","Menlo Park, CA","Early Stage Venture, Late Stage Venture, Seed",www.cervinventures.com
Chaac Ventures,Diversified,"Santa Monica, CA",Seed Stage,http://www.chaacventures.com/
Chattanooga Renaissance Fund,"Technology, Beverages, Gambling, Software, Education / Training, Business Services, Medical Devices, Digital Media, Telecom Media","Chattanooga, TN","Early Stage Venture, Seed",www.chattanoogarenaissancefund.com
Chicago Ventures,Technology,"Chicago, IL","Early Stage Venture, Seed",http://www.chicagoventures.com
Chilango Ventures,Financial Services,"San Francisco, CA","Early Stage Venture, Seed",www.chilangoventures.com
CityBlock Capital,Security,"New York, NY",Early Stage Venture,https://cityblockcapital.com
Civilization Ventures,Healthcare,"San Francisco, CA","Early Stage, Early Stage: Seed, Early Stage: Start-up",www.civilizationventures.com
Cloud Apps Capital Partners,Wireless,"San Francisco, CA",Early Stage Venture,http://www.cloudappsmanagement.com
Cloudstone Venture Fund,"Healthcare, Industrials, Information Technology","Redwood City, CA","Buyout, Early Stage: Start-up, Growth, Venture (General)",www.cloudstonevc.com
Co=Creation=Capital,"Technology, Business Services","Menlo Park, CA","Early Stage Venture, Seed",www.cocreationcapital.com/
Cofounders Capital,"Technology, IT, Software, Healthcare IT","Cary, NC","Early Stage Venture, Seed",www.cofounderscapital.com
Collaborative Fund,"Technology, Consumer Products, Consumer Services, Internet","New York, NY","Early Stage Venture, Seed",www.collaborativefund.com
Come Up Capital,"Technology, Internet","Minneapolis, MN","Early Stage Venture, Seed",http://www.comeup.capital
Comet Labs,"Artificial Intelligence, Hardware, Incubators, Machine Learning, Robotics, Venture Capital","San Francisco, CA","Early Stage Venture, Seed",www.cometlabs.io
Commerce Ventures,"Telecoms, Retail, Internet","San Francisco, CA","Early Stage Venture, Late Stage Venture, Seed",http://www.commercevc.com
Communitas Capital,"Business Services, Real Estate, Telecoms, Media, and Communications","New York, NY","Early Stage, Early Stage: Start-up",communitascapital.com/
Compound Labs,"Block chain, Ethereum, Internet","San Francisco, CA",Seed,compound.finance
Congruent Ventures,Clean Technology,"San Francisco, CA","Early Stage Venture, Seed",http://www.congruentvc.com
Connectivity Ventures,"Business Services, Healthcare, Information Technology","New York, NY",Early Stage,www.connectivitycapitalpartners.com
ConsenSys Ventures,Technology,"Brooklyn, NY",Early Stage: Seed,www.consensys.net
Contour Venture Partners,"Finance, SaaS","New York, NY","Early Stage Venture, Late Stage Venture, Private Equity, Seed",www.contourventures.com
Contrary Capital,Financial Services,"New York, NY",Seed,contrarycap.com
Coplex Ventures,Software,"Phoenix, AZ",Seed,http://www.coplexventures.com
Corazon Capital,Technology,"Chicago, IL","Seed, Series A",www.corazoncap.com
Core Ventures Group,Technology,"Palo Alto, CA","Seed, Early Stage: Start-up",http://coreventuresgroup.com/
Corigin Ventures,"Business Services, Consumer Discretionary, Diversified, Healthcare, Information Technology, Telecoms, Media, and Communication","New York, NY","Early Stage, Early Stage: Seed, Early Stage: Start-up",www.coriginventures.com
Cota Capital,Technology,"San Francisco, CA",Early Stage Venture,http://www.cotacapital.com
Counterview Capital,Diversified,"New York, NY",Seed,http://counterview.vc/
Courtside Ventures,"Technology, Media, Leisure","New York, NY","Early Stage Venture, Seed",http://www.courtsidevc.com
CoVenture,"Technology, Software","New York, NY",Early Stage Venture,www.coventure.vc
Cowboy Ventures,"Technology, Consumer Products, IT, High-Tech, Internet, Information Services","Palo Alto, CA","Early Stage Venture, Seed",www.cowboy.vc
Craftsman Capital Partners,"Business Services, Consumer Discretionary, Energy and Utilities, Healthcare, Industrials, Information Technology","Dallas, TX","Complex Situation, Divestiture, Growth, Management Buyout, Recapitalisation, Special Situations",www.craftsmancapitalpartners.com
Creative Ventures,"AgTech, Artificial Intelligence, Computer Vision, Construction, Health Care, Industrial, Manufacturing, Robotics, Venture Capital","San Francisco, CA","Early Stage Venture, Seed",www.creativeventures.vc
Crestlight,"Technology, Retail, Transportation, Manufacturing, Internet, Logistics","Palo Alto, CA",Seed,www.crestlight.com
Cross Culture Ventures,Diversified,"Los Angeles, CA",Early Stage,crossculturevc.com
Cross Valley,"Technology, Logistics, Wireless, Healthcare IT","Philadelphia, PA",Early Stage,www.crossvalley.vc
CrowdFunder,"Crowdfunding, Financial Services","Los Angeles, CA","Crowdfunding, Early Stage Venture, Seed",www.crowdfunder.com/
CrunchFund,"IT, Software, Internet, Gaming","San Francisco, CA","Early Stage Venture, Late Stage Venture, Seed",www.cf.vc/
Crystal Tech Fund,Technology,"Arlington, VA",Seed,www.crystalcity.org
Crystal Towers Capital,Technology,"New York, NY","Early Stage: Seed, Fund of Funds, Growth",http://www.crystaltowersapartments.com/
CSR Venture Capital,"Transportation, Manufacturing, Construction, Energy, Clean Technology, Materials","Arlington, VA","Seed, Early Stage Venture",http://www.crystaltowersapartments.com/
Cultivation Capital,https://www.harrisonmetal.com/,"St Louis, MO","Early Stage Venture, Seed",http://www.cultivationcapital.com
CVP,Technology,"Cambridge, MA","Early Stage Venture, Late Stage Venture, Seed",convergevp.com/
Darling Ventures,"Mobile Technology, Data Intelligence","San Francisco, CA",Seed,www.DarlingVentures.com
Data Collective,"Technology, IT, Computer Services, IT Infrastructure","San Francisco, CA","Early Stage Venture, Late Stage Venture, Seed",www.dcvc.com
Data Point Capital,Internet,"Boston, MA","Early Stage Venture, Seed",www.datapointcapital.com
Defy Partners,"Financial Services, Technology","Woodside, CA",Early Stage Venture,https://defy.vc/
Designer Fund,Diversified,"San Francisco, CA",Start-up,www.designerfund.com
Detroit Venture Partners,"Technology, High-Tech, Software, Digital Media, IT Security","Detroit, MI","Early Stage Venture, Seed",www.detroit.vc
DHVC,"Technology, Telecoms, IT, High-Tech, Software, Internet, Computer Services, Medical Devices, Materials","Palo Alto, CA","Early Stage Venture, Late Stage Venture, Seed",http://www.danhuacap.com
